,tax_year,object_id,doner_name,doner_ein,recepient_name,recepient_address,recepient_zip,recepient_street_abreviation_code,irc_section_description,recepient_ein,recepient_cash_grant_amount,purpose_of_grant_txt
0,2017,201910469349301046,MISSOURI SHERIFFS ASSOCIATION,436050343,Special Olympics,1001 Diamond Ridge Sute 800,65109,MO,501(c)(3),237328374,15000,
1,2015,201632089349300628,FRIENDS OF THE BETHLEHEM MOUNTED,451546262,BETHLEHEM POLICE DEPARTMENT,10 E CHURCH STREET,18018,PA,GOV,,,TRANSPORTATION
2,2018,201911309349300836,MEMPHIS POLICE ASSOCIATION,452233377,MEMPHIS POLICE SPORTS FEDERATION,8341 WESTBROOK DR,38654,MS,,,10000,UNRESTRICTED GIFT
3,2018,201911309349300836,MEMPHIS POLICE ASSOCIATION,452233377,ST JUDE CHILDRENS RESEARCH HOSPITAL,501 ST JUDE PL,38105,TN,501(C)(3),,9306,UNRESTRICTED GIFT.
4,2013,201430989349300013,GREENSBORO POLICE FOUNDATION,453815105,CITY OF GREENSBORO,300 W WASHINGTON ST,27401,NC,,566000230,165800,TO ACCOMPLISH FOUNDATION MISSION
5,2013,201430989349300013,GREENSBORO POLICE FOUNDATION,453815105,OFFICER RECOGNITION EVENTS,VARIOUS LOCATIONS,27401,NC,,,0,OFFICER MORALE
6,2016,201721209349300102,GREENSBORO POLICE FOUNDATION,453815105,OFFICER RECOGNITION EVENTS,VARIOUS LOCATIONS,27401,NC,,,14736,OFFICER MORALE
7,2016,201743059349300624,Fraternal Order of Police Fairfax Lodge,454426630,AUTISM SPEAKS,,,,,202329938,22000,2016 DONATION
8,2016,201743059349300624,Fraternal Order of Police Fairfax Lodge,454426630,Resurrection Lutheran Church-Cub Scout Pack 632,,,,,540506470,5000,2016 DONATION
9,2016,201743059349300624,Fraternal Order of Police Fairfax Lodge,454426630,Fairfax County Explorer Post 1742,,,,,830482523,5000,2016 DONATION
10,2016,201743059349300624,Fraternal Order of Police Fairfax Lodge,454426630,Fairfax County Explorer Post 2252,,,,,830482523,5000,2016 DONATION
11,2016,201743059349300624,Fraternal Order of Police Fairfax Lodge,454426630,Fairfax County Explorer Post 505,,,,,830482523,5000,2016 DONATION
12,2016,201743059349300624,Fraternal Order of Police Fairfax Lodge,454426630,Fairfax County Police Historical Assoc,,,,,271768506,10000,2016 DONATION
13,2016,201743059349300624,Fraternal Order of Police Fairfax Lodge,454426630,LIFE WITH CANCER,,,,,540620889,22000,2016 DONATION
14,2016,201743059349300624,Fraternal Order of Police Fairfax Lodge,454426630,Ronald McDonald House Charities of DC,,,,,521132262,10000,2016 DONATION
15,2016,201743059349300624,Fraternal Order of Police Fairfax Lodge,454426630,THE LAMB CENTER,,,,,412222581,10000,2016 DONATION
16,2016,201743059349300624,Fraternal Order of Police Fairfax Lodge,454426630,TRAVIS MANION FOUNDATION,,,,,412237951,20000,2016 DONATION
17,2016,201743059349300624,Fraternal Order of Police Fairfax Lodge,454426630,VICTIM SERVICE SECTION,,,,,540787833,15148,2016 DONATION
18,2017,201843179349301704,FRATERNAL ORDER OF POLICE FAIRFAX LODGE,454426630,VICTIM SERVICE SECTION,10600 PAGE AVE,22030,VA,,540787833,22000,2017 GENERAL CONTRIBUTION
19,2017,201843179349301704,FRATERNAL ORDER OF POLICE FAIRFAX LODGE,454426630,INOVA HEALTH FOUNDATION,8110 GATEHOUSE ROAD,22042,VA,,541071867,5000,2017 GENERAL CONTRIBUTION
20,2017,201843179349301704,FRATERNAL ORDER OF POLICE FAIRFAX LODGE,454426630,PAWS OF HONOR,6719 LOWELL AVE,22101,VA,,475643489,10000,2017 GENERAL CONTRIBUTION
21,2017,201843179349301704,FRATERNAL ORDER OF POLICE FAIRFAX LODGE,454426630,THE HERCULES FOUNDATION,15192 STILLFIELD PL,20120,VA,,814023160,15000,2017 GENERAL CONTRIBUTION
22,2016,201741649349300324,BOCA RATON POLICE FOUNDATION INC,454714038,CITY OF BOCA RATON - POLICE SERVICES DEPARTMENT,201 WEST PALMETTO PARK ROAD,33432,FL,,,,THE ORGANIZATION PURCHASED A MEGGITT TRAINING SYSTEM FOR THE BOCA RATON POLICE DEPARTMENT TO HELP FACILITATE A STATE OF THE ART TRAINING PROGRAM TO HELP POLICE OFFICERS TO SUCCEED ON THE STREETS WHILE MAINTAINING THEIR OWN SAFETY TO BETTER SERVE THE CITY OF BOCA POLICE OFFICERS AND THE BOCA RATON COMMUNITY.
